category;metric;critical;variable;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
historic;relative;yes;Emi|CO2|Energy;;;World;;;;0.05;0.1;EDGAR6;;;
historic;relative;yes;Emi|CO2|Energy;;;DEU;;;;0.1;0.2;EDGAR6;;;
historic;relative;yes;PE|Coal;;;;;;;;0.1;BP, IEA;;;
historic;relative;yes;PE|Coal;;;World;;;;;0.2;BP, IEA;;;
historic;difference;yes;PE|Oil;;;;;;;;2;;;;
historic;difference;yes;PE|Oil;;;World;;;;;5;;;;
historic;relative;yes;FE|Electricity;;Bal;;;;;;0.1;;;;
historic;relative;yes;FE|Electricity;;Bal;World;;;;;0.2;;;;
scenario;absolute;yes;Price|Carbon;;;;2030;;;300;600;;;;
scenario;absolute;yes;Price|Carbon;;;;2050;;;;1000;;;;
scenario;absolute;yes;Price|Carbon;;;DEU;2030;50;100;400;800;;;;
scenario;absolute;yes;Price|Carbon;;;DEU;2050;100;150;600;1200;;;;
scenario;absolute;no;Price|Carbon;;;LAM, MEA, SSA, OAS, IND;2030, 2050;;;;200;;;;
scenario;absolute;yes;Emi|GHG;;Bal;DEU, USA, JPN, REF, CHA, CAZ, EUR;2050;-2000;-1000;0;500;;;;
scenario;absolute;no;Emi|GHG;;Bal;LAM, MEA, SSA, OAS, IND;2060;-2000;-1000;0;500;;;;
scenario;absolute;yes;Temperature|Global Mean;;Bal;;2100;;;1.5;1.55;;;;
scenario;relative;yes;Emi|CO2;;;;2030;-0.5;-0.3;;;;;2020;
scenario;relative;yes;Emi|CO2;;;;2030;-0.6;-0.4;;;;;2015;
scenario;relative;no;FE;;;;2030, 2040;-0.4;-0.2;;;;;2020;
scenario;absolute;yes;Price|Secondary Energy|Electricity;;Bal;;;5.56;;;;;;;
scenario;growthrate;yes;New Cap|Electricity|Solar|PV;;;;;;;0.5;1;;;;
scenario;relative;yes;Price|Carbon;;Bal;;2030, 2040, 2050;1;;;;;NPi;;
