metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
Deviation to historical data;;;;;;;;;;;;;;;
relative;yes;Emi|CO2|Energy;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;EDGAR8;historical;;
relative;yes;Emi|CO2|Energy|Demand|Transport;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;EDGAR8;historical;;
relative;yes;Emi|CO2|Energy|Demand|Buildings;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;EDGAR8;historical;;
relative;yes;Emi|CO2|Energy|Demand|Industry;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;EDGAR8;historical;;
relative;yes;Emi|CO2|Energy|Supply;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;EDGAR8;historical;;
relative;yes;Emi|CO2|Industrial Processes;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;EDGAR8;historical;;
relative;yes;PE|Coal;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;BP, IEA;historical;;
relative;yes;PE|Oil;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;BP, IEA;historical;;
relative;yes;PE|Gas;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;BP, IEA;historical;;
relative;yes;SE|Electricity;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;Ember, BP;historical;;
relative;yes;FE;EJ/yr;;;;2005-2020;-40%;-20%;20%;40%;IEA;historical;;
relative;yes;FE|*;EJ/yr;;;;2005-2020;-40%;-20%;20%;40%;IEA;historical;;
;;;;;;;;;;;;;;;
Near-term realism;;;;;;;;;;;;;;;
relative;yes;FE;EJ/yr;;;;2030;-40%;-20%;;;;;2020;Survey: Felix
relative;yes;Emi|GHG;Mt CO2/yr;;;;2030;-50%;-30%;;;;;2020;Survey: Felix
absolute;yes;Emi|CO2;Mt CO2/yr;;;World;2025;39816;;;;;;;"based on Elmars assumptions on max. reduction scenarios:
2019: 37.65Gt (EDGAR, wo LULUCF). 2025 (-3.4%): 36.37Gt + 3.45Gt LULUCF = 39.82Gt CO2"
absolute;yes;Emi|CO2;Mt CO2/yr;;;World;2030;30987;;;;;;;2030 (-23%): 28.99Gt + 2.0Gt LULUCF = 30.99Gt CO2
absolute;yes;Emi|CH4;Mt CH4/yr;;;World;2040;100;;;1000;;;;AR6 WG3 Annex III, Table 11
absolute;yes;SE|Electricity|Nuclear;EJ/yr;;;World;2030;;;;20;;;;AR6 WG3 Annex III, Table 11
;;;;;;;;;;;;;;;
