metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
relative;yes;Emi|GHG|w/o Land-Use Change;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;yes;Emi|GHG|Energy|Supply;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;yes;Emi|GHG|Industry;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;yes;Emi|GHG|Energy|Demand|Buildings;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;yes;Emi|GHG|Energy|Demand|Transport;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;no;Emi|GHG|Agriculture;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;no;Emi|GHG|Waste;Mt CO2eq/yr;REMIND;;DEU;2020;-0.2;-0.1;0.1;0.2;UBA;historical;;
relative;yes;Emi|GHG|Energy|Supply;Mt CO2eq/yr;REMIND;;DEU;2030;-0.2;-0.1;0.1;0.2;KSG;historical;;
relative;yes;Emi|GHG|Industry;Mt CO2eq/yr;REMIND;;DEU;2030;-0.2;-0.1;0.1;0.2;KSG;historical;;
relative;yes;Emi|GHG|Energy|Demand|Buildings;Mt CO2eq/yr;REMIND;;DEU;2030;-0.2;-0.1;0.1;0.2;KSG;historical;;
relative;yes;Emi|GHG|Energy|Demand|Transport;Mt CO2eq/yr;REMIND;;DEU;2030;-0.2;-0.1;0.1;0.2;KSG;historical;;
relative;no;Emi|GHG|Agriculture;Mt CO2eq/yr;REMIND;;DEU;2030;-0.2;-0.1;0.1;0.2;KSG;historical;;
relative;no;Emi|GHG|Waste;Mt CO2eq/yr;REMIND;;DEU;2030;-0.2;-0.1;0.1;0.2;KSG;historical;;
relative;no;Emi|GHG|w/o Land-Use Change;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|Energy|Supply;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|Industry;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|Energy|Demand|Buildings;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|Energy|Demand|Transport;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|Agriculture;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|Waste;;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|GHG|**;Mt CO2eq/yr;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
relative;no;Emi|CO2|**;;REMIND;;DEU;2025, 2030;-0.2;-0.1;0.1;0.2;MMS_2024;;;
