metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
relative;yes;Cap|Electricity;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Biomass;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Coal;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Coal|w/ CC;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Coal|w/o CC;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Gas;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Geothermal;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Hydro;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Hydrogen;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Nuclear;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Oil;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Solar;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Storage|Battery;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Wind;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Wind|Offshore;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;Cap|Electricity|Wind|Onshore;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Biomass;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Coal;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Gas;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Geothermal;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Hydro;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Hydrogen;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
relative;yes;SE|Electricity|Nuclear;;;;;2005-2050;-0.4;-0.2;0.2;0.4;IEA, BP, Ember, Eurostat, IEA WEO 2021 SPS, IEA WEO 2021 Net2050, Global Energy Monitor;historical;;
