metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period
relative;yes;Emi|CO2|Energy and Industrial Processes;;;;World;2010, 2015;-0.2;;;0.2;CEDS-2025;historical;
relative;yes;Emi|CO2|Energy and Industrial Processes;;;;World;2020;-0.2;;;0.2;range(CEDS-2025,CEDS-2025-COVIDaveraged);historical;
relative;yes;Emi|CO2|Energy and Industrial Processes;;;;World;2025;-0.2;;;0.2;CEDS-2025-extrapol25;historical;
relative;yes;PE|Coal;;;;World;2010, 2015;-0.2;;;0.2;IEA-ESDB-20250610;historical;
relative;yes;PE|Coal;;;;World;2020;-0.2;;;0.2;range(IEA-ESDB-20250610,IEA-ESDB-20250610-COVIDaveraged);historical;
relative;yes;PE|Coal;;;;World;2025;-0.2;;;0.2;IEA-ESDB-20250610-extrapol25;historical;
relative;yes;PE|Gas;;;;World;2010, 2015;-0.2;;;0.2;IEA-ESDB-20250610;historical;
relative;yes;PE|Gas;;;;World;2020;-0.2;;;0.2;range(IEA-ESDB-20250610,IEA-ESDB-20250610-COVIDaveraged);historical;
relative;yes;PE|Gas;;;;World;2025;-0.2;;;0.2;IEA-ESDB-20250610-extrapol25;historical;
relative;yes;PE|Oil;;;;World;2010, 2015;-0.2;;;0.2;IEA-ESDB-20250610;historical;
relative;yes;PE|Oil;;;;World;2020;-0.2;;;0.2;range(IEA-ESDB-20250610,IEA-ESDB-20250610-COVIDaveraged);historical;
relative;yes;PE|Oil;;;;World;2025;-0.2;;;0.2;IEA-ESDB-20250610-extrapol25;historical;
relative;yes;PE|Nuclear;;;;World;2010, 2015;-0.2;;;0.2;IEA-ESDB-20250610;historical;
relative;yes;PE|Nuclear;;;;World;2020;-0.2;;;0.2;range(IEA-ESDB-20250610,IEA-ESDB-20250610-COVIDaveraged);historical;
relative;yes;PE|Nuclear;;;;World;2025;-0.2;;;0.2;IEA-ESDB-20250610-extrapol25;historical;
relative;yes;FE;;;;World;2010, 2015;-0.2;;;0.2;IEA-ESDB-20250610;historical;
relative;yes;FE;;;;World;2020;-0.2;;;0.2;range(IEA-ESDB-20250610,IEA-ESDB-20250610-COVIDaveraged);historical;
relative;yes;FE;;;;World;2025;-0.2;;;0.2;IEA-ESDB-20250610-extrapol25;historical;
absolute;feasibility;Cap|Electricity|Hydro;GW;;;World;2030;979.43;1175.37;1606.66;2117.58;;;
absolute;feasibility;Cap|Electricity|Nuclear;GW;;;World;2030;0;320.33;441.92;507.1;;;
absolute;feasibility;Cap|Electricity|Solar;GW;;;World;2030;2683.2;4350.2;8163.7;10896;;;
absolute;feasibility;Cap|Electricity|Wind;GW;;;World;2030;1220;1719;;;;;
absolute;feasibility;Cap|Electricity|Wind|Onshore;GW;;;World;2030;1220;1719;2853;3655;;;
absolute;feasibility;Carbon Management|Storage;Mt CO2/yr;;;World;2030;0;44.02;152.47;457.89;;;
absolute;feasibility;Carbon Management|Storage;Mt CO2/yr;;;World;2035;;;1300;;;;
absolute;feasibility;Carbon Management|Storage;Mt CO2/yr;;;World;2040;;;4300;;;;
absolute;sustainability;Carbon Management|Storage|Cumulated;Mt CO2;;;World;2020-2100;;;1290000;1460000;;;
absolute;sustainability;;kcal/cap/day;;;World;;2220;2520;3750;4000;;;
absolute;sustainability;PE|Biomass;EJ/yr;;;World;;;;100;245;;;
